event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
DataViewCreated,DataView_2147020635,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
DataViewCreated,DataView_2147020634,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
DataViewCreated,DataView_2147020633,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
DataViewCreated,DataView_2147020632,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2016,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2017,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2016,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2015,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2016,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2015,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2014,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2013,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
