event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2013,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2012,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2013,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2011,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2012,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2009,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2011,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2008,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2006,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2007,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2005,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2006,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2004,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2005,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2004,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2003,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2004,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2003,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2004,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2003,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2004,Norrk?ping,male,2023-05-04 00:20:03,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2005,Norrk?ping,male,2023-05-04 00:20:03,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2016,Norrk?ping,female,2023-05-04 00:20:51,P3
